$DateFormat = dd-mm-yyyy,
#,Cubic Meters per Second
Branch,Observed
1/10/1982,1.69864
1/11/1982,1.5538
1/12/1982,1.42335
1/1/1983,1.41638
1/2/1983,1.53114
1/3/1983,1.46362
1/4/1983,1.76043
1/5/1983,2.2719
1/6/1983,2.00819
1/7/1983,1.46672
1/8/1983,1.18022
1/9/1983,1.14983
1/10/1983,1.06121
1/11/1983,1.11959
1/12/1983,0.963745
1/1/1984,0.987619
1/2/1984,1.11311
1/3/1984,0.969277
1/4/1984,1.32882
1/5/1984,1.22253
1/6/1984,1.63109
1/7/1984,1.26623
1/8/1984,1.10012
1/9/1984,1.00678
1/10/1984,0.944473
1/11/1984,0.971804
1/12/1984,0.871443
1/1/1985,0.89377
1/2/1985,0.981873
1/3/1985,0.901112
1/4/1985,1.00707
1/5/1985,0.930161
1/6/1985,1.01303
1/7/1985,0.940848
1/8/1985,0.973709
1/9/1985,1.03699
1/10/1985,0.878746
1/11/1985,0.876515
1/12/1985,0.816568
1/1/1986,0.876814
1/2/1986,0.924407
1/3/1986,1.0698
1/4/1986,1.38389
1/5/1986,1.19226
1/6/1986,1.34267
1/7/1986,1.10363
1/8/1986,1.05124
1/9/1986,1.24006
1/10/1986,0.924235
1/11/1986,0.890972
1/12/1986,0.808222
1/1/1987,0.823765
1/2/1987,1.04307
1/3/1987,0.936491
1/4/1987,1.07668
1/5/1987,1.11554
1/6/1987,1.01621
1/7/1987,0.917225
1/8/1987,0.896244
1/9/1987,0.841177
1/10/1987,0.753095
1/11/1987,0.814964
1/12/1987,0.752447
1/1/1988,0.761741
1/2/1988,0.815445
1/3/1988,0.770101
1/4/1988,0.849231
1/5/1988,0.940177
1/6/1988,0.958318
1/7/1988,0.815203
1/8/1988,0.814627
1/9/1988,0.833826
1/10/1988,0.711303
1/11/1988,0.776325
1/12/1988,0.708956
1/1/1989,0.731218
1/2/1989,0.798234
1/3/1989,0.676014
1/4/1989,0.830197
1/5/1989,0.741052
1/6/1989,0.758003
1/7/1989,0.719037
1/8/1989,0.706455
1/9/1989,0.823173
1/10/1989,0.69199
1/11/1989,0.736484
1/12/1989,0.67214
1/1/1990,0.712637
1/2/1990,0.773092
1/3/1990,0.687784
1/4/1990,0.77963
1/5/1990,0.833073
1/6/1990,0.904051
1/7/1990,0.834902
1/8/1990,0.775308
1/9/1990,0.71406
1/10/1990,0.664755
1/11/1990,0.713226
1/12/1990,0.648036
1/1/1991,0.667324
1/2/1991,0.75297
1/3/1991,0.635485
1/4/1991,0.778636
1/5/1991,1.07869
1/6/1991,1.29583
1/7/1991,0.721534
1/8/1991,0.788268
1/9/1991,0.730082
1/10/1991,0.714421
1/11/1991,0.695677
1/12/1991,0.648885
1/1/1992,0.679199
1/2/1992,0.75261
1/3/1992,0.718332
1/4/1992,0.704272
1/5/1992,0.676236
1/6/1992,0.934253
1/7/1992,0.991207
1/8/1992,0.830514
1/9/1992,0.735165
1/10/1992,0.632911
1/11/1992,0.692822
1/12/1992,0.616232
1/1/1993,0.634198
1/2/1993,0.69915
1/3/1993,0.687977
1/4/1993,0.838398
1/5/1993,0.814816
1/6/1993,1.18195
1/7/1993,1.25498
1/8/1993,0.822963
1/9/1993,0.867493
1/10/1993,0.634263
1/11/1993,0.695134
1/12/1993,0.651309
1/1/1994,0.627007
1/2/1994,0.691114
1/3/1994,0.704952
1/4/1994,0.788533
1/5/1994,0.676256
1/6/1994,0.843485
1/7/1994,0.79547
1/8/1994,0.839668
1/9/1994,0.684651
