Key Assumptions
"Scenario: Reference, Branch: Key Assumptions\MODFLOW\ObservationWells"
 
Branch,OW100,OW157,OW159,OW167,OW169,OW181,OW188,OW209,OW22,OW233,OW234,OW235,OW236,OW237,OW238,OW239,OW240,OW241,OW242,OW243,OW244,OW249,OW29,OW35,OW36,OW43,OW48,OW51,OW83,OW87,OW97
"Oct 1982",685.8,701.04,688,707,704.429,716.28,715.551,705.637,667.886,665.365,664,672.844,682.82,679.018,683.622,682.82,685.805,685.805,688.136,676.153,676.028,731.52,603,676.372,709.228,692.507,715.144,726.232,701.04,700,699
"Nov 1982",685.554,701.034,687.254,710.068,705.237,714.548,715.49,705.752,666.582,665.137,664.508,672.946,682.421,678.918,683.016,682.421,684.812,684.812,687.515,675.923,676.084,731.65,608.02,676.195,708.638,692.022,714.888,726.093,701.125,699.888,700.305
"Dec 1982",685.678,701.039,686.998,709.505,705.53,713.514,715.351,705.933,665.689,665.107,664.525,672.967,682.068,678.806,682.672,682.068,684.056,684.056,687.137,675.734,676.117,731.796,609.389,676.094,708.13,691.754,714.238,725.98,701.201,700.045,700.432
"Jan 1983",685.779,701.045,686.864,708.919,705.622,712.674,715.139,706.051,664.984,665.156,664.563,672.939,681.75,678.684,682.447,681.75,683.444,683.444,686.872,675.573,676.126,731.93,609.752,676.007,707.637,691.514,713.555,725.882,701.265,700.231,700.408
"Feb 1983",685.833,701.051,686.77,708.491,705.608,711.971,714.885,706.117,664.412,665.237,664.61,672.889,681.48,678.567,682.293,681.48,682.964,682.964,686.683,675.441,676.119,732.033,609.786,675.924,707.154,691.289,712.981,725.8,701.316,700.328,700.388
"Mar 1983",685.859,701.056,686.703,708.148,705.545,711.43,714.635,706.15,663.97,665.316,664.647,672.838,681.273,678.47,682.193,681.273,682.617,682.617,686.558,675.345,676.108,732.099,609.729,675.853,706.707,691.087,712.54,725.738,701.355,700.398,700.387
"Apr 1983",685.869,701.055,686.632,707.805,705.428,710.912,714.341,706.159,663.533,665.402,664.696,672.777,681.076,678.368,682.105,681.076,682.306,682.306,686.445,675.255,676.092,732.134,609.605,675.772,706.245,690.858,712.116,725.678,701.385,700.447,700.394
"May 1983",685.872,701.051,686.568,707.506,705.286,710.474,714.053,706.152,663.15,665.478,664.73,672.721,680.913,678.279,682.037,680.913,682.059,682.059,686.355,675.184,676.078,732.142,609.487,675.695,705.799,690.643,711.765,725.628,701.405,700.483,700.424
"Jun 1983",685.876,701.041,686.503,707.221,705.116,710.07,713.757,706.133,662.781,665.547,664.761,672.665,680.766,678.194,681.977,680.766,681.845,681.845,686.272,675.122,676.066,732.126,609.378,675.617,705.358,690.429,711.461,725.583,701.418,700.507,700.465
"Jul 1983",685.796,701.028,686.436,706.97,704.935,709.691,713.363,706.039,662.446,665.427,664.253,672.615,680.641,678.119,681.926,680.641,681.667,681.667,686.188,675.071,676.059,732.078,609.258,675.542,703.429,690.225,711.206,725.541,701.409,700.503,700.464
"Aug 1983",685.733,701.007,686.358,706.76,704.73,709.317,712.967,705.935,662.112,665.351,664.186,672.566,680.527,678.047,681.879,680.527,681.504,681.504,686.09,675.027,676.055,731.992,609.104,675.459,701.919,690.017,710.975,725.492,701.377,700.476,700.445
"Sep 1983",685.695,700.98,686.276,706.536,704.516,708.965,712.593,705.83,661.789,665.3,664.134,672.52,680.424,677.982,681.837,680.424,681.356,681.356,685.986,674.99,676.055,731.881,608.946,675.37,700.658,689.817,710.771,725.439,701.329,700.437,700.417
"Oct 1983",685.678,700.951,686.195,706.324,704.303,708.646,712.246,705.725,661.489,665.259,664.073,672.48,680.337,677.926,681.8,680.337,681.226,681.226,685.884,674.961,676.061,731.76,608.81,675.28,699.527,689.634,710.596,725.386,701.273,700.398,700.386
